Label,aspect_NSEW,elevation_center,elevation_minmax_difference,slope_center,slope_difference_pct,aspect_span,aspect_sum_span_9cells,placurv_center_below_diff,placurv_signs_8,placurv_top_vs_2bottom,procurv_signs_8,procurv_top_vs_2bottom,lsfactor_sum_center_1below,twi_center,twi_25mean,geology_center,geology_9mode,sdoif_center
0,SE,119,20,44.56372,34.97970995240073,37.874979999999994,35.42129999999999,0.013627489,++-,0.021404727999999998,+--,0.066799001,19.286974,3.154479,3.46651308,3,3,1.28173
1,S,156,12,32.31153,41.66617922456782,29.744899999999973,91.52300000000002,-0.002551600000000001,+++,-0.019255500000000002,---,0.005462772999999999,16.638963,4.383853,4.660536520000001,3,3,1.359574
0,W,164,22,45.0,77.70868888888889,62.40270000000004,106.33060000000012,0.004780960000000001,+++,-0.02739607,+++,0.0025645109999999985,28.869999999999997,4.169325,4.22779928,2,2,1.36505
0,S,77,8,16.69924,86.54938787633449,78.69010000000003,45.0,0.008908910000000003,+++,-0.02286607,+-+,0.01459153,8.211399,4.259946,3.737840919999999,2,2,1.100826
0,SE,109,15,29.49621,32.68952180636088,18.435000000000002,72.40499999999997,-0.0005855040000000006,---,0.018123095999999998,---,0.020476756999999998,15.817906,4.430152,4.54205968,2,5,1.284217
1,NE,306,22,44.71062,61.39838812344807,49.39870000000002,41.84229999999999,0.06736583,---,0.19781042999999998,---,0.017353131999999997,19.076574,3.230525,3.8189410799999997,3,3,1.325811
0,N,133,4,5.710593,373.1053324934906,270.0,1625.9061500000003,-0.001819150000000002,+++,-0.023562890000000003,-++,-0.026111198000000002,2.220923167,8.762563,4.20951304,1,1,1.321408
0,S,140,14,32.31153,53.09336945666145,51.34019999999998,79.01419999999996,-0.00747188,+++,-0.02594189,+++,-0.012675065000000001,15.211356,3.215448,3.3547579599999993,1,1,1.287982
0,N,104,10,22.40687,51.78750981283866,47.72633999999999,89.67006000000012,-0.013719312,---,0.00010044799999999951,--+,-0.0001004,18.533226,6.147375,6.5959653199999995,2,5,1.303112
0,W,146,14,35.26439,57.73711100631544,40.236300000000085,37.35950000000008,0.019444355,---,0.051055565,+--,0.017904396,19.157935000000002,4.369989,4.1852438,3,3,1.299171
0,E,138,18,28.3032,58.190557958110745,19.653819999999996,43.285399999999974,0.007362315,---,0.020943645,---,0.042510951,19.193351,4.639975,4.15194632,2,2,1.296158
0,S,357,14,26.56505,116.04417458276947,71.565,64.55330000000001,0.0068282800000000025,+++,-0.005931409999999998,+++,-0.018897679999999997,20.354459,6.454936,6.082206839999999,2,5,1.323882
0,W,50,12,27.01712,65.5447360784569,26.565000000000055,58.58259999999996,-0.010507069,+++,-0.021938199,---,-0.005649082999999999,14.385507,4.327645,4.6564470799999995,2,2,1.349049
1,E,22,13,31.31116,68.11711862479703,63.43490000000003,60.49467999999999,0.007885969000000001,+++,0.0023408050000000014,---,0.030739944999999998,12.929203,3.586888,3.439620000000001,2,2,1.35133
1,W,513,24,43.49152,52.9226157191103,51.34019999999998,53.263000000000034,0.014002650000000002,---,0.047810149999999996,---,0.05424551,26.03807,4.124454,4.3818155999999995,2,5,1.316017
1,W,302,17,38.65981,25.182767323481418,60.25509999999997,85.36150000000006,0.022346704,+--,0.059927614000000004,++-,0.017316037,22.713720000000002,3.854293,3.7985538400000007,3,3,1.280764
0,NE,259,10,26.56505,52.552771404533395,63.434950000000015,72.97444000000002,-0.007924404999999999,++-,-0.007372646999999999,-++,-0.0202128,12.183696999999999,4.652442,4.819433640000001,3,3,1.339524
0,SE,57,10,37.29208,69.67203223848065,270.0001,271.6044,-0.030212759999999998,-+-,-0.0019163199999999991,+++,-0.0395058,10.245733999999999,2.207887,3.4433816000000004,2,2,1.254751
0,S,687,24,46.23402,48.60860033369369,65.92450000000002,81.70190000000002,0.00844102,---,0.06554385,---,0.01447079,40.15589,5.547209,5.4805004,3,3,1.334256
0,SW,495,19,33.85452,39.13873243513717,22.38020000000006,6.7327999999999975,-0.003785323,+++,-0.014289503,-++,-0.018811082,18.18687,3.88844,3.8752935199999996,3,3,1.365349
0,N,95,8,17.5484,88.42965740466369,63.434950000000015,174.04476000000005,-0.00804129,-++,-0.015848569,-++,-0.017255069999999997,14.236735,6.293393,6.43220664,3,3,1.358787
1,W,318,21,40.51059,58.817089556088916,77.47120000000001,95.83819999999997,0.033194237,++-,0.052628087000000004,++-,0.04392709,19.369912,2.624359,3.0607373199999994,3,3,1.310323
